ParticipantNo,lChoice,lValue,rChoice,rValue
1,7820,5.39,1640,6.16
1,2037,6.42,7475,6.33
1,2880,5.18,8193,6.73
1,5870,6.78,1659,6.57
1,1650,6.65,8208,6.79
1,8465,5.96,8312,5.37
1,5455,5.79,5520,5.33
1,2308,5.22,7286,6.36
1,6250,6.32,7632,5.22
1,7515,6.19,2362,6.74
1,2389,6.61,7192,5.77
1,2018,5.56,2019,6.07
1,2305,5.41,7547,5.21
1,5750,6.6,4536,6.01
1,2594,6.05,2597,5.61
1,7390,6.84,2500,6.16
1,2152,6.93,7472,6.25
1,1450,6.37,2720,5.43
1,7188,5.5,8620,6.04
1,7461,5.8,2377,5.19
1,2372,5.48,7096,5.54
1,1903,5.5,2357,5.41
1,7233,5.09,7900,6.5
1,1595,6.22,8467,6.35
1,7183,5.58,8021,6.79
1,1720,6.79,7205,5.56
1,2351,5.49,2056,6.34
1,1640,6.27,2384,5.92
2,7237,5.43,2500,6.16
2,7019,5.2,5520,5.33
2,2342,6.2,8320,6.24
2,5800,6.36,5531,5.15
2,7182,5.16,2018,5.56
2,7512,5.38,5990,6.54
2,8117,6.02,7291,6.35
2,2575,5.46,2357,5.41
2,2606,5.92,2191,5.3
2,7100,5.24,2362,6.74
2,2506,5.67,8600,6.38
2,2594,6.05,8467,6.35
2,6250,6.32,7500,5.33
2,7450,6.4,1903,5.5
2,2511,6.21,7001,5.32
2,8193,6.73,1810,6.52
2,2514,5.19,8021,6.79
2,5471,5.21,7352,6.2
2,1850,6.15,2442,6.17
2,1450,6.37,2308,5.22
2,7053,5.22,2597,5.61
2,2010,6.25,7095,5.99
2,2122,5.15,2374,6.29
2,5849,6.65,5875,6.03
2,5900,5.93,2593,5.8
2,7507,6.25,7017,5.18
2,2720,5.43,2488,5.73
2,8465,5.96,5750,6.6
2,2037,6.42,4598,6.33
2,7513,5.45,8325,5.63
2,4619,6.46,2019,6.07
2,1910,6.71,7188,5.5
2,7390,6.84,7351,5.82
2,7490,5.52,5040,5.39
2,8040,6.64,7165,6.09
2,2605,6.26,8118,6.14
2,7300,5.64,1675,5.24
2,7472,6.25,7515,6.19
2,2217,6.24,7354,5.51
2,8280,6.38,2056,6.34
2,7286,6.36,7340,6.68
2,5635,6.25,1419,6.54
2,7489,6.54,7820,5.39
2,7900,6.5,7477,6.12
2,7242,5.28,2384,5.92
2,5300,6.91,4617,6.6
2,7033,5.4,7233,5.09
2,7530,6.71,5890,6.67
2,7488,6.19,1900,6.65
2,1560,5.97,7546,5.4
2,2579,5.53,2390,5.4
2,7039,5.93,8620,6.04
2,2036,5.8,5726,6.23
2,7061,5.4,7279,6.22
2,5215,6.83,2032,5.58
2,7190,5.55,8130,6.58
2,4536,6.01,7248,5.22
2,7195,6.02,5500,5.42
2,2389,6.61,2870,5.31
2,1660,6.49,2102,5.16
2,2351,5.49,1605,6.59
2,8031,6.76,1720,6.79
2,2038,5.09,4100,6.11
2,8192,5.52,1616,5.21
2,2513,5.8,2235,5.64
2,7497,5.19,8251,6.16
2,2880,5.18,8205,6.62
2,7096,5.54,1333,6.11
2,7240,6.02,8161,6.71
2,7140,5.5,2152,6.93
2,2980,5.61,7482,6.36
2,2445,5.39,5390,5.59
2,2435,5.84,5395,5.34
2,2635,5.22,5731,5.39
2,7710,5.42,7014,5.15
2,5250,6.08,7205,5.56
2,5020,6.32,7660,6.61
2,7550,5.27,9156,6.43
2,2092,6.28,5628,6.51
2,5301,6.54,7052,5.33
2,7509,6.03,1947,5.85
2,2382,5.67,7026,5.38
2,7506,5.34,7830,5.26
2,7600,5.9,4645,6.73
2,2025,5.78,5533,5.31
2,2515,6.09,1942,6.26
2,8158,6.53,5622,6.33
2,5711,6.62,5740,5.21
2,8312,5.37,7057,5.35
2,7460,6.81,5950,5.99
2,2358,6.56,7475,6.33
2,2489,5.66,2900,6.62
2,2060,6.49,1650,6.65
2,2305,5.41,7499,6.47
2,1640,6.16,8179,6.48
2,7496,5.92,7192,5.77
2,7179,5.06,8341,6.25
2,2560,6.34,1640,6.27
2,7042,5.55,2273,5.41
2,2620,5.93,2521,5.78
3,7001,5.32,5800,6.36
3,1942,6.26,7286,6.36
3,7493,5.35,5410,6.11
3,5711,6.62,2372,5.48
3,7530,6.71,7710,5.42
3,8158,6.53,7052,5.33
3,7515,6.19,8312,5.37
3,8191,6.07,2020,5.68
3,2390,5.4,7501,6.85
3,7340,6.68,7507,6.25
3,5510,5.15,7351,5.82
3,6250,6.32,7505,6.1
3,1660,6.49,7820,5.39
3,7600,5.9,7192,5.77
3,1640,6.27,7179,5.06
3,8021,6.79,5455,5.79
3,5950,5.99,8280,6.38
3,7026,5.38,1908,5.28
3,7205,5.56,7095,5.99
3,7279,6.22,7019,5.2
3,2605,6.26,7300,5.64
3,7242,5.28,2488,5.73
3,7900,6.5,7238,6.43
3,7475,6.33,5635,6.25
3,2500,6.16,7096,5.54
3,2060,6.49,7080,5.27
3,8260,6.18,2122,5.15
3,2594,6.05,1419,6.54
3,7240,6.02,7500,5.33
3,7140,5.5,2382,5.67
3,2435,5.84,8325,5.63
3,7233,5.09,7195,6.02
3,7488,6.19,4100,6.11
3,8117,6.02,5390,5.59
3,2980,5.61,8211,5.76
3,7506,5.34,7039,5.93
3,7188,5.5,1560,5.97
3,2102,5.16,2107,5.53
3,1659,6.57,2305,5.41
3,7100,5.24,1605,6.59
3,2597,5.61,7190,5.55
3,1333,6.11,7620,5.78
3,2506,5.67,5849,6.65
3,4645,6.73,1595,6.22
3,2635,5.22,7499,6.47
3,2870,5.31,5250,6.08
3,7496,5.92,7053,5.22
3,5040,5.39,5990,6.54
3,4536,6.01,8205,6.62
3,1675,5.24,7440,6.32
3,2302,6.43,7830,5.26
3,2056,6.34,7460,6.81
3,5890,6.67,7660,6.61
3,5593,6.47,2339,6.72
3,2217,6.24,7057,5.35
3,1450,6.37,8465,5.96
3,7250,6.62,8251,6.16
3,2357,5.41,5764,6.74
3,7042,5.55,2362,6.74
3,9156,6.43,2515,6.09
3,5531,5.15,7021,5.21
3,7510,6.05,1850,6.15
3,5628,6.51,5731,5.39
3,1650,6.65,5661,5.96
3,1903,5.5,2593,5.8
3,7513,5.45,7632,5.22
3,7503,5.77,2411,5.07
3,2191,5.3,5875,6.03
3,7033,5.4,7489,6.54
3,1720,6.79,5530,5.38
3,7509,6.03,5500,5.42
3,7183,5.58,5726,6.23
3,7451,6.68,7320,6.54
3,7482,6.36,7237,5.43
3,2018,5.56,7490,5.52
3,8179,6.48,2521,5.78
3,1640,6.16,7165,6.09
3,2389,6.61,5870,6.78
3,2579,5.53,7546,5.4
3,7248,5.22,2092,6.28
3,8620,6.04,7182,5.16
3,5301,6.54,2513,5.8
3,8192,5.52,2273,5.41
3,1947,5.85,8031,6.76
3,2514,5.19,2359,5.87
3,7354,5.51,8600,6.38
3,7017,5.18,2036,5.8
3,5300,6.91,2377,5.19
3,8311,5.88,2392,6.15
3,7461,5.8,8040,6.64
3,2374,6.29,1900,6.65
3,7550,5.27,2575,5.46
3,5533,5.31,8206,6.43
3,7477,6.12,2025,5.78
3,8341,6.25,2358,6.56
3,7390,6.84,7547,5.21
3,2384,5.92,4619,6.46
3,5750,6.6,2445,5.39
3,5520,5.33,5900,5.93
3,7014,5.15,2235,5.64
4,7140,5.5,2511,6.21
4,2392,6.15,2362,6.74
4,8118,6.14,7489,6.54
4,4619,6.46,7080,5.27
4,7632,5.22,8179,6.48
4,2880,5.18,5875,6.03
4,7493,5.35,8191,6.07
4,2575,5.46,7512,5.38
4,2377,5.19,5300,6.91
4,7660,6.61,7530,6.71
4,5510,5.15,2980,5.61
4,5395,5.34,5900,5.93
4,2411,5.07,2521,5.78
4,5533,5.31,7286,6.36
4,1450,6.37,5711,6.62
4,5849,6.65,2107,5.53
4,2036,5.8,2060,6.49
4,5520,5.33,5720,6.31
4,2018,5.56,2122,5.15
4,5764,6.74,1616,5.21
4,5500,5.42,2358,6.56
4,7500,5.33,5890,6.67
4,1810,6.52,7340,6.68
4,7482,6.36,2010,6.25
4,5593,6.47,7503,5.77
4,8250,6.19,2389,6.61
4,5661,5.96,7354,5.51
4,7019,5.2,5020,6.32
4,7057,5.35,7248,5.22
4,8260,6.18,5990,6.54
4,1560,5.97,4613,5.34
4,5635,6.25,8465,5.96
4,7501,6.85,7300,5.64
4,7291,6.35,7179,5.06
4,7052,5.33,8280,6.38
4,1660,6.49,7042,5.55
4,7820,5.39,2500,6.16
4,1850,6.15,7190,5.55
4,2308,5.22,2616,5.97
4,7053,5.22,2445,5.39
4,5622,6.33,8325,5.63
4,1947,5.85,7900,6.5
4,2597,5.61,7026,5.38
4,7033,5.4,5750,6.6
4,7461,5.8,7546,5.4
4,1942,6.26,2191,5.3
4,5665,6.15,1595,6.22
4,2620,5.93,7061,5.4
4,5301,6.54,8251,6.16
4,1910,6.71,7352,6.2
4,8620,6.04,5726,6.23
4,2032,5.58,7250,6.62
4,7475,6.33,8158,6.53
4,7510,6.05,2217,6.24
4,7830,5.26,7182,5.16
4,1640,6.16,8206,6.43
4,2514,5.19,7188,5.5
4,7205,5.56,2605,6.26
4,4100,6.11,5731,5.39
4,5740,5.21,7440,6.32
4,8311,5.88,7505,6.1
4,2593,5.8,5800,6.36
4,7240,6.02,5531,5.15
4,5455,5.79,2235,5.64
4,2273,5.41,8117,6.02
4,8040,6.64,7237,5.43
4,7183,5.58,2038,5.09
4,5410,6.11,8467,6.35
4,2152,6.93,5628,6.51
4,2506,5.67,8192,5.52
4,1900,6.65,2435,5.84
4,7100,5.24,5530,5.38
4,2489,5.66,5250,6.08
4,7320,6.54,1670,5.82
4,8161,6.71,7001,5.32
4,4617,6.6,7497,5.19
4,2339,6.72,5215,6.83
4,7195,6.02,7499,6.47
4,2351,5.49,8600,6.38
4,7600,5.9,5471,5.21
4,2635,5.22,7507,6.25
4,7495,5.9,8205,6.62
4,7550,5.27,7460,6.81
4,1675,5.24,8130,6.58
4,5390,5.59,2900,6.62
4,8341,6.25,7506,5.34
4,4625,6.4,7513,5.45
4,1650,6.65,2382,5.67
4,5950,5.99,7165,6.09
4,2302,6.43,7039,5.93
4,8320,6.24,4536,6.01
4,7192,5.77,2357,5.41
4,7242,5.28,7450,6.4
4,7620,5.78,2020,5.68
4,7014,5.15,7451,6.68
4,7233,5.09,7515,6.19
4,7390,6.84,7496,5.92
4,2515,6.09,7279,6.22
4,4600,6.41,7477,6.12
4,7710,5.42,1419,6.54
5,1850,6.15,2382,5.67
5,8179,6.48,4645,6.73
5,4600,6.41,7182,5.16
5,1659,6.57,1903,5.5
5,5731,5.39,7195,6.02
5,7042,5.55,2374,6.29
5,7248,5.22,8325,5.63
5,2488,5.73,2372,5.48
5,5250,6.08,2305,5.41
5,1616,5.21,5533,5.31
5,5395,5.34,8600,6.38
5,5215,6.83,2511,6.21
5,7320,6.54,2606,5.92
5,1942,6.26,5500,5.42
5,2514,5.19,2616,5.97
5,7039,5.93,5530,5.38
5,2122,5.15,1333,6.11
5,7238,6.43,2359,5.87
5,7547,5.21,8250,6.19
5,7053,5.22,8021,6.79
5,7488,6.19,2620,5.93
5,2092,6.28,7354,5.51
5,7390,6.84,7014,5.15
5,5300,6.91,5520,5.33
5,8211,5.76,5661,5.96
5,5990,6.54,7242,5.28
5,8031,6.76,7019,5.2
5,7291,6.35,7286,6.36
5,2357,5.41,7506,5.34
5,7900,6.5,1560,5.97
5,4613,5.34,8130,6.58
5,4625,6.4,7830,5.26
5,7710,5.42,2102,5.16
5,1810,6.52,2342,6.2
5,7477,6.12,7192,5.77
5,7237,5.43,7500,5.33
5,2377,5.19,8260,6.18
5,7513,5.45,7620,5.78
5,1660,6.49,7250,6.62
5,2513,5.8,8320,6.24
5,1670,5.82,7505,6.1
5,7100,5.24,5626,6.71
5,7461,5.8,7490,5.52
5,7507,6.25,5390,5.59
5,7017,5.18,7450,6.4
5,5900,5.93,7503,5.77
5,7026,5.38,7179,5.06
5,7061,5.4,7096,5.54
5,7451,6.68,2411,5.07
5,7600,5.9,2019,6.07
5,5764,6.74,2060,6.49
5,1900,6.65,5020,6.32
5,1640,6.27,2339,6.72
5,8465,5.96,5622,6.33
5,7279,6.22,1947,5.85
5,2489,5.66,2515,6.09
5,2445,5.39,5635,6.25
5,2217,6.24,7472,6.25
5,7205,5.56,4617,6.6
5,4536,6.01,1908,5.28
5,2020,5.68,7001,5.32
5,7475,6.33,7080,5.27
5,2056,6.34,7546,5.4
5,7496,5.92,5665,6.15
5,2635,5.22,1640,6.16
5,7497,5.19,7140,5.5
5,2442,6.17,2308,5.22
5,5950,5.99,7440,6.32
5,2597,5.61,8040,6.64
5,5849,6.65,5875,6.03
5,2880,5.18,8208,6.79
5,5740,5.21,8251,6.16
5,1910,6.71,7165,6.09
5,2720,5.43,7095,5.99
5,2302,6.43,7352,6.2
5,2870,5.31,7340,6.68
5,5711,6.62,8311,5.88
5,2500,6.16,7515,6.19
5,2358,6.56,7300,5.64
5,7550,5.27,5593,6.47
5,1650,6.65,7530,6.71
5,2032,5.58,5040,5.39
5,2521,5.78,4619,6.46
5,2575,5.46,2389,6.61
5,9156,6.43,7057,5.35
5,5301,6.54,2560,6.34
5,8341,6.25,2593,5.8
5,5455,5.79,2390,5.4
5,7632,5.22,2273,5.41
5,5410,6.11,5726,6.23
5,5531,5.15,2579,5.53
5,7052,5.33,2362,6.74
5,8161,6.71,8193,6.73
5,2107,5.53,7033,5.4
5,2900,6.62,8192,5.52
5,1450,6.37,1675,5.24
5,8620,6.04,2506,5.67
5,2018,5.56,2235,5.64
5,8191,6.07,2605,6.26
5,7460,6.81,1419,6.54
6,2377,5.19,7140,5.5
6,5750,6.6,2217,6.24
6,7242,5.28,8320,6.24
6,7053,5.22,1903,5.5
6,7513,5.45,7496,5.92
6,2302,6.43,5764,6.74
6,2616,5.97,5250,6.08
6,2435,5.84,5890,6.67
6,1810,6.52,1640,6.27
6,2038,5.09,7250,6.62
6,7026,5.38,7182,5.16
6,5720,6.31,7660,6.61
6,5300,6.91,7019,5.2
6,2635,5.22,5628,6.51
6,7450,6.4,7042,5.55
6,5875,6.03,2372,5.48
6,7505,6.1,7547,5.21
6,7482,6.36,7530,6.71
6,7080,5.27,7820,5.39
6,5622,6.33,7237,5.43
6,2032,5.58,2620,5.93
6,8260,6.18,7017,5.18
6,9156,6.43,5390,5.59
6,7451,6.68,7489,6.54
6,7900,6.5,1650,6.65
6,5990,6.54,2362,6.74
6,2122,5.15,2605,6.26
6,8325,5.63,7490,5.52
6,5626,6.71,2339,6.72
6,2305,5.41,5301,6.54
6,8250,6.19,4619,6.46
6,5849,6.65,7500,5.33
6,1910,6.71,8312,5.37
6,7497,5.19,8040,6.64
6,2351,5.49,7493,5.35
6,7014,5.15,5726,6.23
6,8130,6.58,1333,6.11
6,8311,5.88,1900,6.65
6,7291,6.35,8211,5.76
6,8191,6.07,4600,6.41
6,1660,6.49,1640,6.16
6,5593,6.47,2357,5.41
6,8158,6.53,7509,6.03
6,7001,5.32,5531,5.15
6,4613,5.34,7488,6.19
6,7600,5.9,7710,5.42
6,1908,5.28,1616,5.21
6,4645,6.73,7057,5.35
6,7320,6.54,5711,6.62
6,7188,5.5,2606,5.92
6,2037,6.42,7165,6.09
6,7830,5.26,2442,6.17
6,1419,6.54,7503,5.77
6,1675,5.24,8205,6.62
6,7461,5.8,8465,5.96
6,7300,5.64,7039,5.93
6,7205,5.56,5530,5.38
6,8341,6.25,7195,6.02
6,5661,5.96,7495,5.9
6,7340,6.68,5500,5.42
6,2411,5.07,2515,6.09
6,2102,5.16,5510,5.15
6,7546,5.4,2488,5.73
6,2575,5.46,1450,6.37
6,2235,5.64,7061,5.4
6,7233,5.09,8193,6.73
6,7238,6.43,4625,6.4
6,5471,5.21,1942,6.26
6,5665,6.15,2092,6.28
6,2152,6.93,2358,6.56
6,2342,6.2,2036,5.8
6,8600,6.38,5533,5.31
6,7390,6.84,2521,5.78
6,7475,6.33,1659,6.57
6,8021,6.79,2020,5.68
6,2720,5.43,2010,6.25
6,7100,5.24,1720,6.79
6,7190,5.55,7499,6.47
6,2579,5.53,2870,5.31
6,5900,5.93,2384,5.92
6,5040,5.39,7550,5.27
6,7512,5.38,7620,5.78
6,7096,5.54,4536,6.01
6,7052,5.33,2880,5.18
6,5740,5.21,2273,5.41
6,2594,6.05,2514,5.19
6,2500,6.16,7477,6.12
6,5455,5.79,7033,5.4
6,7515,6.19,2900,6.62
6,8192,5.52,2389,6.61
6,7472,6.25,5950,5.99
6,7021,5.21,2018,5.56
6,7095,5.99,7352,6.2
6,2382,5.67,2060,6.49
6,2359,5.87,8620,6.04
6,2560,6.34,1670,5.82
6,2392,6.15,2511,6.21
6,1560,5.97,8031,6.76
6,2308,5.22,2980,5.61
6,5020,6.32,5395,5.34
7,7080,5.27,5040,5.39
7,7250,6.62,2036,5.8
7,2374,6.29,5661,5.96
7,7460,6.81,4613,5.34
7,4536,6.01,2362,6.74
7,2305,5.41,5626,6.71
7,7140,5.5,4625,6.4
7,2302,6.43,2037,6.42
7,7179,5.06,1900,6.65
7,7513,5.45,2579,5.53
7,5800,6.36,7501,6.85
7,7019,5.2,7026,5.38
7,1675,5.24,7300,5.64
7,5300,6.91,7500,5.33
7,7042,5.55,1333,6.11
7,5215,6.83,7547,5.21
7,8117,6.02,7320,6.54
7,8465,5.96,7340,6.68
7,1660,6.49,1605,6.59
7,7510,6.05,8320,6.24
7,2235,5.64,2217,6.24
7,4598,6.33,5531,5.15
7,8250,6.19,2511,6.21
7,1640,6.16,2635,5.22
7,5665,6.15,2411,5.07
7,2870,5.31,8312,5.37
7,2382,5.67,8118,6.14
7,2339,6.72,7600,5.9
7,8311,5.88,7450,6.4
7,8021,6.79,5520,5.33
7,2593,5.8,5622,6.33
7,2308,5.22,7660,6.61
7,2019,6.07,5635,6.25
7,2018,5.56,1650,6.65
7,7830,5.26,7052,5.33
7,7242,5.28,1720,6.79
7,7497,5.19,5731,5.39
7,7496,5.92,8161,6.71
7,2560,6.34,2880,5.18
7,8260,6.18,5533,5.31
7,5990,6.54,7495,5.9
7,8193,6.73,2152,6.93
7,8341,6.25,7033,5.4
7,7205,5.56,5750,6.6
7,1640,6.27,8600,6.38
7,5764,6.74,7550,5.27
7,7546,5.4,5950,5.99
7,2359,5.87,8208,6.79
7,5390,5.59,4619,6.46
7,7021,5.21,2191,5.3
7,5720,6.31,7472,6.25
7,1908,5.28,2488,5.73
7,2342,6.2,2616,5.97
7,2102,5.16,1419,6.54
7,8467,6.35,2514,5.19
7,7493,5.35,2092,6.28
7,7279,6.22,2351,5.49
7,1910,6.71,1560,5.97
7,7237,5.43,2435,5.84
7,8040,6.64,5301,6.54
7,2445,5.39,2038,5.09
7,2357,5.41,7900,6.5
7,5510,5.15,2010,6.25
7,7096,5.54,2620,5.93
7,7352,6.2,2442,6.17
7,5455,5.79,7461,5.8
7,2056,6.34,7233,5.09
7,7017,5.18,5500,5.42
7,1942,6.26,4645,6.73
7,8325,5.63,7710,5.42
7,2390,5.4,8031,6.76
7,5250,6.08,7053,5.22
7,7488,6.19,2489,5.66
7,7354,5.51,7188,5.5
7,2392,6.15,2389,6.61
7,2597,5.61,7440,6.32
7,7512,5.38,2107,5.53
7,2500,6.16,7001,5.32
7,1659,6.57,1595,6.22
7,7100,5.24,4617,6.6
7,5530,5.38,2515,6.09
7,7390,6.84,2900,6.62
7,7165,6.09,7489,6.54
7,2605,6.26,7192,5.77
7,2513,5.8,2020,5.68
7,5471,5.21,7490,5.52
7,2606,5.92,5020,6.32
7,7499,6.47,1850,6.15
7,5740,5.21,7061,5.4
7,8620,6.04,8130,6.58
7,6250,6.32,2575,5.46
7,4100,6.11,8251,6.16
7,1450,6.37,7095,5.99
7,7620,5.78,7248,5.22
7,2025,5.78,5870,6.78
7,7195,6.02,5395,5.34
7,2980,5.61,7482,6.36
7,2521,5.78,7190,5.55
7,7351,5.82,2377,5.19
7,2032,5.58,7291,6.35
8,7493,5.35,7026,5.38
8,8280,6.38,7140,5.5
8,2616,5.97,7354,5.51
8,5500,5.42,5870,6.78
8,7095,5.99,4613,5.34
8,7195,6.02,2122,5.15
8,5593,6.47,5622,6.33
8,1850,6.15,1900,6.65
8,8208,6.79,7600,5.9
8,7488,6.19,7475,6.33
8,7014,5.15,2377,5.19
8,7472,6.25,8031,6.76
8,8312,5.37,7100,5.24
8,2635,5.22,7165,6.09
8,1419,6.54,7188,5.5
8,7233,5.09,7291,6.35
8,4100,6.11,1595,6.22
8,7450,6.4,1942,6.26
8,7390,6.84,2092,6.28
8,5455,5.79,4625,6.4
8,1720,6.79,4619,6.46
8,2020,5.68,7632,5.22
8,2605,6.26,7515,6.19
8,5531,5.15,1903,5.5
8,5950,5.99,2374,6.29
8,2382,5.67,5215,6.83
8,7482,6.36,8021,6.79
8,7300,5.64,2037,6.42
8,7513,5.45,8600,6.38
8,7017,5.18,2038,5.09
8,2579,5.53,8620,6.04
8,8158,6.53,7710,5.42
8,7900,6.5,2575,5.46
8,8205,6.62,2357,5.41
8,2511,6.21,2036,5.8
8,2010,6.25,4598,6.33
8,7001,5.32,7530,6.71
8,9156,6.43,2384,5.92
8,1450,6.37,2060,6.49
8,5628,6.51,7057,5.35
8,5740,5.21,4645,6.73
8,7021,5.21,8193,6.73
8,7042,5.55,7352,6.2
8,8117,6.02,2597,5.61
8,1670,5.82,2515,6.09
8,2217,6.24,7192,5.77
8,7242,5.28,7547,5.21
8,8161,6.71,7509,6.03
8,2351,5.49,7490,5.52
8,8465,5.96,1910,6.71
8,2107,5.53,2514,5.19
8,7499,6.47,2191,5.3
8,8191,6.07,2390,5.4
8,7250,6.62,1640,6.27
8,2018,5.56,5390,5.59
8,5250,6.08,2305,5.41
8,8211,5.76,8250,6.19
8,1908,5.28,5530,5.38
8,1605,6.59,7500,5.33
8,8325,5.63,7451,6.68
8,5900,5.93,7660,6.61
8,1650,6.65,8118,6.14
8,7440,6.32,7820,5.39
8,5626,6.71,1560,5.97
8,8341,6.25,2521,5.78
8,5300,6.91,2620,5.93
8,5875,6.03,2594,6.05
8,2056,6.34,5720,6.31
8,7053,5.22,7501,6.85
8,7286,6.36,5471,5.21
8,4600,6.41,5301,6.54
8,2489,5.66,7503,5.77
8,2359,5.87,5510,5.15
8,5520,5.33,2389,6.61
8,7507,6.25,7179,5.06
8,1659,6.57,7238,6.43
8,5800,6.36,2900,6.62
8,5665,6.15,2435,5.84
8,5731,5.39,5750,6.6
8,2411,5.07,7496,5.92
8,7190,5.55,2152,6.93
8,7039,5.93,2513,5.8
8,7505,6.1,2560,6.34
8,7497,5.19,7096,5.54
8,1675,5.24,2362,6.74
8,2302,6.43,7351,5.82
8,8206,6.43,7019,5.2
8,2500,6.16,8260,6.18
8,7340,6.68,1947,5.85
8,8251,6.16,4617,6.6
8,8192,5.52,5764,6.74
8,8130,6.58,2606,5.92
8,2442,6.17,2032,5.58
8,5020,6.32,7183,5.58
8,7279,6.22,7237,5.43
8,6250,6.32,2308,5.22
8,4536,6.01,2870,5.31
8,7061,5.4,7240,6.02
8,7495,5.9,5711,6.62
8,7546,5.4,2273,5.41
9,7510,6.05,8158,6.53
9,7340,6.68,2513,5.8
9,7501,6.85,5593,6.47
9,2102,5.16,5410,6.11
9,2038,5.09,7061,5.4
9,2302,6.43,5455,5.79
9,2560,6.34,2606,5.92
9,7179,5.06,2122,5.15
9,7547,5.21,2359,5.87
9,5731,5.39,5040,5.39
9,2305,5.41,1640,6.16
9,2597,5.61,8467,6.35
9,5720,6.31,7495,5.9
9,4100,6.11,2056,6.34
9,2720,5.43,8130,6.58
9,2273,5.41,1908,5.28
9,2217,6.24,7100,5.24
9,7140,5.5,2579,5.53
9,7354,5.51,7192,5.77
9,7472,6.25,2357,5.41
9,5622,6.33,8325,5.63
9,7512,5.38,8312,5.37
9,7830,5.26,2515,6.09
9,2020,5.68,7513,5.45
9,2511,6.21,7451,6.68
9,7095,5.99,8600,6.38
9,5300,6.91,7490,5.52
9,7550,5.27,2372,5.48
9,9156,6.43,1659,6.57
9,1640,6.27,7820,5.39
9,8117,6.02,2374,6.29
9,2880,5.18,7042,5.55
9,5875,6.03,1616,5.21
9,8208,6.79,7660,6.61
9,7352,6.2,2032,5.58
9,5990,6.54,5900,5.93
9,8280,6.38,2575,5.46
9,7242,5.28,7499,6.47
9,5661,5.96,2635,5.22
9,2339,6.72,7482,6.36
9,7496,5.92,2442,6.17
9,2390,5.4,2488,5.73
9,7460,6.81,7546,5.4
9,7493,5.35,2392,6.15
9,5250,6.08,2870,5.31
9,2037,6.42,8179,6.48
9,5740,5.21,1419,6.54
9,2506,5.67,7021,5.21
9,7250,6.62,7019,5.2
9,5950,5.99,2384,5.92
9,2308,5.22,1810,6.52
9,2411,5.07,2019,6.07
9,2616,5.97,5849,6.65
9,8161,6.71,2025,5.78
9,7017,5.18,5764,6.74
9,1903,5.5,2152,6.93
9,5711,6.62,1910,6.71
9,8251,6.16,7291,6.35
9,2036,5.8,8250,6.19
9,7515,6.19,2107,5.53
9,7477,6.12,2377,5.19
9,5870,6.78,2500,6.16
9,1670,5.82,2092,6.28
9,7248,5.22,8320,6.24
9,7190,5.55,1595,6.22
9,1850,6.15,7503,5.77
9,7240,6.02,2358,6.56
9,7188,5.5,5530,5.38
9,5665,6.15,7632,5.22
9,5726,6.23,8031,6.76
9,7026,5.38,2445,5.39
