ParticipantNo,lChoice,lValue,rChoice,rValue
1,1560,5.97,7440,6.32
1,5020,6.32,2018,5.56
1,2020,5.68,1810,6.52
1,8320,6.24,7512,5.38
1,5520,5.33,5665,6.15
1,7283,5.5,7632,5.22
1,8179,6.48,8158,6.53
1,2152,6.93,5390,5.59
1,6250,6.32,4609,6.71
1,7600,5.9,7080,5.27
1,2377,5.19,7140,5.5
1,2102,5.16,2390,5.4
1,1850,6.15,7477,6.12
1,4650,6.96,1640,6.27
1,2385,5.2,7286,6.36
1,8211,5.76,7550,5.27
1,2191,5.3,2597,5.61
1,7281,6.4,2488,5.73
1,5900,5.93,4617,6.6
1,8280,6.38,2435,5.84
1,1660,6.49,2720,5.43
1,5250,6.08,4606,6.55
1,2518,5.67,7236,5.64
1,2036,5.8,7238,6.43
1,7620,5.78,2514,5.19
1,1595,6.22,8241,5.76
1,2870,5.31,7546,5.4
1,7017,5.18,5040,5.39
1,2620,5.93,2900,6.62
1,5500,5.42,2358,6.56
1,5471,5.21,7495,5.9
1,5750,6.6,7053,5.22
1,8178,6.5,8341,6.25
1,7451,6.68,2635,5.22
1,5870,6.78,2445,5.39
1,2305,5.41,7489,6.54
1,2374,6.29,8251,6.16
2,4672,6,4693,6.16
2,7620,5.78,2037,6.42
2,2102,5.16,5711,6.62
2,2339,6.72,5410,6.11
2,7440,6.32,4605,5.59
2,2351,5.49,2620,5.93
2,2485,5.69,7236,5.64
2,7233,5.09,2122,5.15
2,7501,6.85,5870,6.78
2,2305,5.41,2362,6.74
2,2521,5.78,2442,6.17
2,2500,6.16,8311,5.88
2,1675,5.24,2600,5.84
2,5471,5.21,2900,6.62
2,8251,6.16,7504,5.67
2,7482,6.36,7402,5.98
2,5890,6.67,2302,6.43
2,7286,6.36,1333,6.11
2,2605,6.26,7499,6.47
2,5530,5.38,7039,5.93
2,7300,5.64,2720,5.43
2,8312,5.37,8040,6.64
2,5849,6.65,7495,5.9
2,5628,6.51,7291,6.35
2,1121,5.79,7505,6.1
2,8118,6.14,5990,6.54
2,5875,6.03,2018,5.56
2,8467,6.35,7461,5.8
2,7017,5.18,7095,5.99
2,8191,6.07,7710,5.42
2,1670,5.82,2980,5.61
2,2635,5.22,8206,6.43
2,7057,5.35,4625,6.4
2,8600,6.38,2191,5.3
2,8205,6.62,1850,6.15
2,8021,6.79,4645,6.73
2,7547,5.21,2593,5.8
2,1640,6.16,2515,6.09
2,7033,5.4,7900,6.5
2,2273,5.41,8465,5.96
2,1810,6.52,2579,5.53
2,5720,6.31,7530,6.71
2,1419,6.54,2390,5.4
2,7490,5.52,7080,5.27
2,8208,6.79,7503,5.77
2,2092,6.28,5626,6.71
2,7052,5.33,9156,6.43
2,2616,5.97,5900,5.93
2,7546,5.4,7493,5.35
2,7451,6.68,7515,6.19
2,5533,5.31,6250,6.32
2,1942,6.26,4677,6.58
2,2514,5.19,4650,6.96
2,2489,5.66,2152,6.93
2,5740,5.21,7190,5.55
2,8158,6.53,5950,5.99
2,4698,6.5,2435,5.84
2,2389,6.61,7281,6.4
2,7237,5.43,7450,6.4
2,8161,6.71,7242,5.28
2,2038,5.09,5040,5.39
2,1947,5.85,2511,6.21
2,1910,6.71,4536,6.01
2,1659,6.57,2382,5.67
2,7472,6.25,7238,6.43
2,4606,6.55,7475,6.33
2,7481,6.53,1908,5.28
2,2358,6.56,7660,6.61
2,2575,5.46,2372,5.48
2,4100,6.11,1640,6.27
2,2381,5.25,1903,5.5
2,8178,6.5,5390,5.59
2,2060,6.49,2518,5.67
2,2036,5.8,4609,6.71
2,7249,5.24,2411,5.07
2,7001,5.32,5635,6.25
2,5250,6.08,8031,6.76
2,5726,6.23,1313,5.65
2,7289,6.32,7509,6.03
2,7283,5.5,5510,5.15
2,1616,5.21,8211,5.76
2,7205,5.56,7240,6.02
2,5731,5.39,2019,6.07
2,7354,5.51,7513,5.45
2,5301,6.54,2357,5.41
2,7340,6.68,8241,5.76
2,1450,6.37,7820,5.39
2,7390,6.84,2010,6.25
2,8050,6.24,8260,6.18
2,4617,6.6,5300,6.91
2,2488,5.73,5622,6.33
2,5531,5.15,7061,5.4
2,5593,6.47,7830,5.26
2,7600,5.9,2342,6.2
2,8193,6.73,1661,6.14
2,4613,5.34,5750,6.6
2,7021,5.21,8280,6.38
2,4598,6.33,4666,6.24
2,5215,6.83,7284,6.21
2,2445,5.39,2384,5.92
3,7291,6.35,2392,6.15
3,2020,5.68,1450,6.37
3,2445,5.39,8040,6.64
3,2107,5.53,7340,6.68
3,8211,5.76,2513,5.8
3,2359,5.87,2521,5.78
3,8280,6.38,2980,5.61
3,7284,6.21,1903,5.5
3,1650,6.65,7095,5.99
3,7052,5.33,7546,5.4
3,8311,5.88,7140,5.5
3,7620,5.78,2273,5.41
3,7096,5.54,7530,6.71
3,2382,5.67,4645,6.73
3,7490,5.52,2308,5.22
3,2500,6.16,1910,6.71
3,4601,6.82,5410,6.11
3,5875,6.03,1942,6.26
3,4619,6.46,7100,5.24
3,4613,5.34,7286,6.36
3,1947,5.85,2122,5.15
3,7182,5.16,2385,5.2
3,7488,6.19,5520,5.33
3,2362,6.74,2488,5.73
3,2390,5.4,7250,6.62
3,7390,6.84,8179,6.48
3,4617,6.6,8050,6.24
3,2372,5.48,9156,6.43
3,2870,5.31,7504,5.67
3,5250,6.08,5040,5.39
3,1850,6.15,5665,6.15
3,2025,5.78,8192,5.52
3,2358,6.56,2616,5.97
3,2514,5.19,2487,5.2
3,1640,6.16,7460,6.81
3,7830,5.26,7057,5.35
3,7505,6.1,7053,5.22
3,1640,6.27,8118,6.14
3,7192,5.77,2580,5.71
3,2056,6.34,7493,5.35
3,2600,5.84,4606,6.55
3,7033,5.4,7475,6.33
3,7285,5.67,7481,6.53
3,7482,6.36,1313,5.65
3,2357,5.41,7450,6.4
3,8193,6.73,7900,6.5
3,2620,5.93,7300,5.64
3,7188,5.5,7472,6.25
3,1616,5.21,7283,5.5
3,7500,5.33,7165,6.09
3,2597,5.61,5626,6.71
3,2351,5.49,8241,5.76
3,4625,6.4,2217,6.24
3,7019,5.2,7017,5.18
3,2605,6.26,1900,6.65
3,8325,5.63,1661,6.14
3,2381,5.25,7249,5.24
3,7352,6.2,7281,6.4
3,5950,5.99,7237,5.43
3,7080,5.27,7026,5.38
3,2511,6.21,2038,5.09
3,8031,6.76,8205,6.62
3,8021,6.79,7021,5.21
3,1659,6.57,8191,6.07
3,8620,6.04,8130,6.58
3,1605,6.59,2339,6.72
3,2235,5.64,2880,5.18
3,5900,5.93,5740,5.21
3,5533,5.31,7495,5.9
3,7183,5.58,5471,5.21
3,5661,5.96,5455,5.79
3,7547,5.21,1595,6.22
3,5726,6.23,2018,5.56
3,8178,6.5,7550,5.27
3,5849,6.65,5635,6.25
3,7195,6.02,2037,6.42
3,8260,6.18,7233,5.09
3,7512,5.38,8208,6.79
3,7506,5.34,7205,5.56
3,5300,6.91,7042,5.55
3,2606,5.92,2092,6.28
3,1720,6.79,5764,6.74
3,7238,6.43,5395,5.34
3,1675,5.24,8206,6.43
3,7039,5.93,5020,6.32
3,2320,6.17,2575,5.46
3,2720,5.43,5890,6.67
3,1333,6.11,2019,6.07
3,5390,5.59,4605,5.59
3,4666,6.24,8161,6.71
3,8600,6.38,2579,5.53
3,4609,6.71,2499,5.34
3,5215,6.83,7632,5.22
3,2032,5.58,7236,5.64
3,1908,5.28,7354,5.51
3,5711,6.62,7501,6.85
3,2435,5.84,2036,5.8
3,4693,6.16,1660,6.49
3,5530,5.38,7440,6.32
3,2442,6.17,2374,6.29
4,8205,6.62,2720,5.43
4,2488,5.73,7490,5.52
4,5990,6.54,7515,6.19
4,6250,6.32,5726,6.23
4,1419,6.54,5040,5.39
4,5500,5.42,7238,6.43
4,7285,5.67,5731,5.39
4,7512,5.38,7021,5.21
4,2032,5.58,7061,5.4
4,8178,6.5,7503,5.77
4,7140,5.5,2273,5.41
4,5626,6.71,7900,6.5
4,2606,5.92,2377,5.19
4,7237,5.43,1560,5.97
4,5301,6.54,2351,5.49
4,7284,6.21,2342,6.2
4,7052,5.33,8341,6.25
4,7001,5.32,7165,6.09
4,7320,6.54,2302,6.43
4,7291,6.35,8211,5.76
4,2122,5.15,7281,6.4
4,2575,5.46,7710,5.42
4,2600,5.84,7482,6.36
4,5020,6.32,8312,5.37
4,7390,6.84,7509,6.03
4,5870,6.78,4645,6.73
4,4693,6.16,5250,6.08
4,7286,6.36,2362,6.74
4,8117,6.02,7600,5.9
4,1659,6.57,1661,6.14
4,7042,5.55,4619,6.46
4,7033,5.4,7283,5.5
4,7620,5.78,7513,5.45
4,1313,5.65,2485,5.69
4,2036,5.8,1910,6.71
4,5900,5.93,7506,5.34
4,7475,6.33,7205,5.56
4,7461,5.8,8118,6.14
4,2495,5.22,2305,5.41
4,7242,5.28,2411,5.07
4,1675,5.24,1942,6.26
4,2579,5.53,5410,6.11
4,4650,6.96,4698,6.5
4,7530,6.71,1121,5.79
4,7240,6.02,7300,5.64
4,9156,6.43,7489,6.54
4,1903,5.5,7352,6.2
4,4605,5.59,5890,6.67
4,7279,6.22,5531,5.15
4,4672,6,7039,5.93
4,4598,6.33,5950,5.99
4,2616,5.97,1616,5.21
4,7183,5.58,8280,6.38
4,7096,5.54,2060,6.49
4,2389,6.61,7546,5.4
4,2019,6.07,2092,6.28
4,1650,6.65,2217,6.24
4,7053,5.22,7499,6.47
4,2308,5.22,2357,5.41
4,7550,5.27,2372,5.48
4,2235,5.64,7501,6.85
4,2394,5.76,7248,5.22
4,2020,5.68,2620,5.93
4,5395,5.34,2382,5.67
4,8620,6.04,7496,5.92
4,8192,5.52,8208,6.79
4,7820,5.39,7188,5.5
4,2489,5.66,7289,6.32
4,1810,6.52,7500,5.33
4,5628,6.51,2445,5.39
4,2390,5.4,5530,5.38
4,7440,6.32,7451,6.68
4,7249,5.24,1595,6.22
4,8311,5.88,2320,6.17
4,2025,5.78,7547,5.21
4,4677,6.58,7450,6.4
4,7493,5.35,7472,6.25
4,8040,6.64,5750,6.6
4,7190,5.55,5593,6.47
4,7017,5.18,1640,6.16
4,1670,5.82,8193,6.73
4,7660,6.61,8250,6.19
4,2056,6.34,2518,5.67
4,5764,6.74,7402,5.98
4,2511,6.21,7510,6.05
4,7488,6.19,8179,6.48
4,4536,6.01,8320,6.24
4,1900,6.65,7507,6.25
4,7080,5.27,2102,5.16
4,8467,6.35,1908,5.28
4,7632,5.22,1450,6.37
4,2191,5.3,7236,5.64
4,2514,5.19,7477,6.12
4,2580,5.71,2515,6.09
4,8021,6.79,7019,5.2
4,4100,6.11,2560,6.34
4,2384,5.92,7182,5.16
4,7179,5.06,5720,6.31
4,7057,5.35,2870,5.31
4,8050,6.24,7100,5.24
5,7546,5.4,7512,5.38
5,1333,6.11,2305,5.41
5,5250,6.08,7550,5.27
5,2385,5.2,8208,6.79
5,8620,6.04,2377,5.19
5,7820,5.39,7284,6.21
5,5040,5.39,5750,6.6
5,4650,6.96,7053,5.22
5,2308,5.22,7451,6.68
5,2060,6.49,7506,5.34
5,4604,5.98,7281,6.4
5,2488,5.73,8130,6.58
5,8050,6.24,7140,5.5
5,7249,5.24,7440,6.32
5,2320,6.17,1903,5.5
5,5990,6.54,5800,6.36
5,7021,5.21,9156,6.43
5,4617,6.6,7482,6.36
5,7052,5.33,7242,5.28
5,7080,5.27,7233,5.09
5,7182,5.16,2600,5.84
5,5731,5.39,2381,5.25
5,2358,6.56,7240,6.02
5,2351,5.49,2020,5.68
5,2620,5.93,7188,5.5
5,1810,6.52,7352,6.2
5,5628,6.51,8325,5.63
5,1595,6.22,7547,5.21
5,4625,6.4,2489,5.66
5,7501,6.85,2018,5.56
5,7286,6.36,7493,5.35
5,5533,5.31,1661,6.14
5,4100,6.11,1650,6.65
5,2521,5.78,7095,5.99
5,7477,6.12,7499,6.47
5,7495,5.9,7450,6.4
5,2594,6.05,1947,5.85
5,7660,6.61,2411,5.07
5,7509,6.03,5500,5.42
5,7165,6.09,7481,6.53
5,2191,5.3,1419,6.54
5,5455,5.79,7283,5.5
5,2980,5.61,2025,5.78
5,2217,6.24,7475,6.33
5,2579,5.53,7472,6.25
5,8158,6.53,1670,5.82
5,5530,5.38,7340,6.68
5,5531,5.15,7033,5.4
5,1942,6.26,2500,6.16
5,8021,6.79,8280,6.38
5,2107,5.53,2635,5.22
5,7248,5.22,5764,6.74
5,2900,6.62,1900,6.65
5,2606,5.92,8118,6.14
5,7900,6.5,4693,6.16
5,2495,5.22,8031,6.76
5,7504,5.67,8600,6.38
5,2518,5.67,2036,5.8
5,4606,6.55,4619,6.46
5,7061,5.4,2720,5.43
5,7490,5.52,8193,6.73
5,2442,6.17,1640,6.16
5,5720,6.31,1908,5.28
5,1660,6.49,1659,6.57
5,2010,6.25,2359,5.87
5,2513,5.8,5900,5.93
5,8161,6.71,2506,5.67
5,7300,5.64,7042,5.55
5,1910,6.71,5300,6.91
5,7205,5.56,2372,5.48
5,8260,6.18,5711,6.62
5,5510,5.15,2605,6.26
5,1450,6.37,2487,5.2
5,2362,6.74,2880,5.18
5,5390,5.59,7289,6.32
5,4698,6.5,7017,5.18
5,7250,6.62,2102,5.16
5,7354,5.51,7461,5.8
5,4601,6.82,5301,6.54
5,2515,6.09,8311,5.88
5,2445,5.39,4613,5.34
5,8220,6.5,5950,5.99
5,7195,6.02,2382,5.67
5,5870,6.78,8312,5.37
5,2870,5.31,7497,5.19
5,7710,5.42,8191,6.07
5,1675,5.24,5875,6.03
5,7402,5.98,7285,5.67
5,7489,6.54,5849,6.65
5,7390,6.84,2499,5.34
5,8465,5.96,1640,6.27
5,2038,5.09,7236,5.64
5,4666,6.24,2575,5.46
5,7238,6.43,8206,6.43
5,6250,6.32,2485,5.69
5,2122,5.15,5726,6.23
5,2235,5.64,2435,5.84
5,2593,5.8,8251,6.16
5,4609,6.71,1605,6.59
5,7488,6.19,5626,6.71
6,5530,5.38,7497,5.19
6,1908,5.28,8191,6.07
6,7501,6.85,1640,6.16
6,7830,5.26,5990,6.54
6,8465,5.96,7490,5.52
6,7057,5.35,5520,5.33
6,5471,5.21,4698,6.5
6,2152,6.93,8250,6.19
6,4606,6.55,1333,6.11
6,2579,5.53,4605,5.59
6,5593,6.47,7451,6.68
6,8251,6.16,7710,5.42
6,7496,5.92,1616,5.21
6,2511,6.21,7632,5.22
6,1659,6.57,2273,5.41
6,5510,5.15,7660,6.61
6,2384,5.92,7284,6.21
6,1640,6.27,5395,5.34
6,1850,6.15,2018,5.56
6,5626,6.71,5750,6.6
6,4625,6.4,7513,5.45
6,2359,5.87,2377,5.19
6,2025,5.78,4601,6.82
6,5800,6.36,2435,5.84
6,7195,6.02,2372,5.48
6,7477,6.12,1947,5.85
6,5740,5.21,4693,6.16
6,8311,5.88,1605,6.59
6,8118,6.14,7510,6.05
6,2092,6.28,2032,5.58
6,2600,5.84,7095,5.99
6,2394,5.76,2235,5.64
6,2358,6.56,5020,6.32
6,7450,6.4,4613,5.34
6,8260,6.18,5531,5.15
6,2580,5.71,7285,5.67
6,8320,6.24,7236,5.64
6,7039,5.93,1121,5.79
6,7026,5.38,2635,5.22
6,5665,6.15,7354,5.51
6,7096,5.54,1560,5.97
6,4609,6.71,8600,6.38
6,7499,6.47,7289,6.32
6,2385,5.2,4536,6.01
6,2038,5.09,7237,5.43
6,1810,6.52,7530,6.71
6,7352,6.2,2056,6.34
6,7042,5.55,7488,6.19
6,8280,6.38,2010,6.25
6,5661,5.96,7503,5.77
6,7475,6.33,2382,5.67
6,1419,6.54,2036,5.8
6,1450,6.37,5250,6.08
6,7238,6.43,7033,5.4
6,1670,5.82,7100,5.24
6,5215,6.83,4619,6.46
6,1900,6.65,2880,5.18
6,2107,5.53,4100,6.11
6,7351,5.82,5301,6.54
6,2500,6.16,2411,5.07
6,2597,5.61,8208,6.79
6,7600,5.9,7165,6.09
6,5300,6.91,2374,6.29
6,8040,6.64,2342,6.2
6,5628,6.51,2616,5.97
6,4645,6.73,5731,5.39
6,2217,6.24,2870,5.31
6,2720,5.43,7489,6.54
6,2191,5.3,2521,5.78
6,7182,5.16,2020,5.68
6,2606,5.92,2442,6.17
6,1650,6.65,7190,5.55
6,7192,5.77,2392,6.15
6,8312,5.37,7248,5.22
6,2488,5.73,7506,5.34
6,4604,5.98,7001,5.32
6,7515,6.19,4666,6.24
6,1903,5.5,7242,5.28
6,1661,6.14,7900,6.5
6,5622,6.33,7281,6.4
6,7140,5.5,2605,6.26
6,8117,6.02,2489,5.66
6,7504,5.67,7440,6.32
6,4600,6.41,8179,6.48
6,5410,6.11,7402,5.98
6,1313,5.65,2389,6.61
6,5390,5.59,2320,6.17
6,5849,6.65,2019,6.07
6,7283,5.5,7233,5.09
6,6250,6.32,2495,5.22
6,2122,5.15,2900,6.62
6,7509,6.03,8161,6.71
6,8130,6.58,2060,6.49
6,2594,6.05,7249,5.24
6,4650,6.96,2390,5.4
6,7547,5.21,1660,6.49
6,7080,5.27,1675,5.24
6,2485,5.69,7014,5.15
6,1720,6.79,2102,5.16
6,7061,5.4,8031,6.76
7,1419,6.54,4666,6.24
7,8205,6.62,7042,5.55
7,7014,5.15,7515,6.19
7,8161,6.71,7506,5.34
7,7488,6.19,5215,6.83
7,1810,6.52,7080,5.27
7,2597,5.61,2392,6.15
7,2372,5.48,7195,6.02
7,2980,5.61,7460,6.81
7,2605,6.26,7190,5.55
7,4625,6.4,8208,6.79
7,8280,6.38,7096,5.54
7,2037,6.42,2377,5.19
7,7242,5.28,2056,6.34
7,2511,6.21,2359,5.87
7,7283,5.5,7510,6.05
7,7497,5.19,8130,6.58
7,5626,6.71,2152,6.93
7,4677,6.58,5593,6.47
7,1720,6.79,8050,6.24
7,7900,6.5,2900,6.62
7,1121,5.79,7238,6.43
7,1908,5.28,7820,5.39
7,2485,5.69,5711,6.62
7,8325,5.63,7053,5.22
7,7057,5.35,8193,6.73
7,2616,5.97,2092,6.28
7,4693,6.16,7477,6.12
7,7600,5.9,2500,6.16
7,7461,5.8,2720,5.43
7,2362,6.74,7493,5.35
7,1670,5.82,2018,5.56
7,7281,6.4,2308,5.22
7,5628,6.51,2339,6.72
7,9156,6.43,2374,6.29
7,7489,6.54,1900,6.65
7,2305,5.41,2606,5.92
7,7017,5.18,4606,6.55
7,7100,5.24,4619,6.46
7,7320,6.54,5471,5.21
7,2489,5.66,4613,5.34
7,2560,6.34,5661,5.96
7,7504,5.67,4598,6.33
7,1595,6.22,1560,5.97
7,7481,6.53,7546,5.4
7,5300,6.91,2575,5.46
7,7530,6.71,8031,6.76
7,7248,5.22,8250,6.19
7,5731,5.39,7550,5.27
7,8312,5.37,2635,5.22
7,8118,6.14,1616,5.21
7,2019,6.07,4672,6
7,4645,6.73,7279,6.22
7,8260,6.18,8251,6.16
7,4605,5.59,7620,5.78
7,5740,5.21,7340,6.68
7,2038,5.09,7250,6.62
7,2010,6.25,2499,5.34
7,4600,6.41,4698,6.5
7,7236,5.64,5870,6.78
7,8600,6.38,8311,5.88
7,2107,5.53,7496,5.92
7,5750,6.6,7451,6.68
7,5040,5.39,2579,5.53
7,5500,5.42,2389,6.61
7,7499,6.47,8320,6.24
7,7183,5.58,1661,6.14
7,5410,6.11,8241,5.76
7,1910,6.71,7660,6.61
7,5990,6.54,2390,5.4
7,7300,5.64,1675,5.24
7,5665,6.15,2025,5.78
7,1650,6.65,5390,5.59
7,8465,5.96,8192,5.52
7,2521,5.78,2518,5.67
7,2302,6.43,2020,5.68
7,5849,6.65,2600,5.84
7,7710,5.42,2593,5.8
7,2594,6.05,7402,5.98
7,2273,5.41,8021,6.79
7,2217,6.24,8341,6.25
7,2435,5.84,7500,5.33
7,8117,6.02,2880,5.18
7,2487,5.2,5020,6.32
7,8040,6.64,2191,5.3
7,1605,6.59,1313,5.65
7,7501,6.85,8220,6.5
7,4604,5.98,5520,5.33
7,7001,5.32,7182,5.16
7,7240,6.02,2351,5.49
7,5530,5.38,2122,5.15
7,7440,6.32,7450,6.4
7,1659,6.57,7205,5.56
7,7052,5.33,5301,6.54
7,7039,5.93,5900,5.93
7,2357,5.41,4100,6.11
7,5890,6.67,7547,5.21
7,7237,5.43,4536,6.01
7,7284,6.21,5455,5.79
7,7507,6.25,7291,6.35
8,8325,5.63,7236,5.64
8,7014,5.15,8161,6.71
8,2302,6.43,7507,6.25
8,7238,6.43,4672,6
8,2560,6.34,2411,5.07
8,7820,5.39,1675,5.24
8,5800,6.36,7515,6.19
8,7472,6.25,2372,5.48
8,2339,6.72,2515,6.09
8,7017,5.18,7140,5.5
8,5530,5.38,4600,6.41
8,2394,5.76,2980,5.61
8,8193,6.73,1650,6.65
8,8241,5.76,7248,5.22
8,2056,6.34,5300,6.91
8,2900,6.62,7240,6.02
8,2521,5.78,1640,6.27
8,2010,6.25,7281,6.4
8,5395,5.34,7188,5.5
8,5593,6.47,5531,5.15
8,5661,5.96,5500,5.42
8,8206,6.43,7499,6.47
8,7179,5.06,4666,6.24
8,8208,6.79,1659,6.57
8,2593,5.8,1903,5.5
8,8312,5.37,7289,6.32
8,7165,6.09,5750,6.6
8,2506,5.67,7354,5.51
8,7205,5.56,1661,6.14
8,7547,5.21,1947,5.85
8,7830,5.26,2122,5.15
8,7233,5.09,5520,5.33
8,8220,6.5,7019,5.2
8,5849,6.65,5635,6.25
8,7505,6.1,7053,5.22
8,2107,5.53,7475,6.33
8,7237,5.43,1810,6.52
8,1450,6.37,7460,6.81
8,7291,6.35,5726,6.23
8,8620,6.04,7402,5.98
8,1121,5.79,1333,6.11
8,7242,5.28,2308,5.22
8,2442,6.17,2620,5.93
8,8320,6.24,8260,6.18
8,7052,5.33,7546,5.4
8,6250,6.32,8311,5.88
8,2511,6.21,7620,5.78
8,1670,5.82,8192,5.52
8,2273,5.41,2518,5.67
8,2597,5.61,7550,5.27
8,7488,6.19,2358,6.56
8,2038,5.09,7513,5.45
8,8117,6.02,2616,5.97
8,4677,6.58,4605,5.59
8,7500,5.33,2384,5.92
8,7496,5.92,8341,6.25
8,2575,5.46,7477,6.12
8,2489,5.66,8205,6.62
8,7497,5.19,7250,6.62
8,7390,6.84,7530,6.71
8,2320,6.17,5731,5.39
8,8130,6.58,7506,5.34
8,7300,5.64,2514,5.19
8,2390,5.4,2152,6.93
8,2359,5.87,2389,6.61
8,2357,5.41,7279,6.22
8,1910,6.71,2377,5.19
8,7352,6.2,1908,5.28
8,5301,6.54,5764,6.74
8,5628,6.51,9156,6.43
8,5471,5.21,5390,5.59
8,7481,6.53,1660,6.49
8,7461,5.8,4625,6.4
8,8040,6.64,7285,5.67
8,7096,5.54,7451,6.68
8,5900,5.93,2500,6.16
8,5510,5.15,2020,5.68
8,7493,5.35,5250,6.08
8,5665,6.15,2392,6.15
8,8467,6.35,7190,5.55
8,5720,6.31,1419,6.54
8,8031,6.76,7450,6.4
8,5990,6.54,7021,5.21
8,2600,5.84,4698,6.5
8,2037,6.42,7095,5.99
8,2374,6.29,4613,5.34
8,7033,5.4,7001,5.32
8,2579,5.53,1900,6.65
8,7440,6.32,4606,6.55
8,1850,6.15,2362,6.74
8,7482,6.36,8211,5.76
8,7351,5.82,5950,5.99
8,7340,6.68,2092,6.28
8,2485,5.69,1560,5.97
8,5711,6.62,2025,5.78
8,2102,5.16,1313,5.65
8,5215,6.83,2487,5.2
8,8179,6.48,7632,5.22
8,5890,6.67,2435,5.84
8,2488,5.73,7061,5.4
9,2339,6.72,7052,5.33
9,7183,5.58,2489,5.66
9,9156,6.43,2359,5.87
9,5510,5.15,2102,5.16
9,8192,5.52,7242,5.28
9,4613,5.34,2485,5.69
9,2593,5.8,7477,6.12
9,7249,5.24,2305,5.41
9,7248,5.22,8325,5.63
9,2980,5.61,7179,5.06
9,7440,6.32,7710,5.42
9,5720,6.31,7501,6.85
9,1850,6.15,7281,6.4
9,7660,6.61,2620,5.93
9,2056,6.34,5635,6.25
9,1947,5.85,5849,6.65
9,1560,5.97,8179,6.48
9,7475,6.33,6250,6.32
9,1908,5.28,7080,5.27
9,2010,6.25,7354,5.51
9,8040,6.64,7352,6.2
9,2351,5.49,5990,6.54
9,5870,6.78,7188,5.5
9,7026,5.38,7053,5.22
9,2122,5.15,7620,5.78
9,2152,6.93,7095,5.99
9,7001,5.32,2235,5.64
9,8465,5.96,7472,6.25
9,1640,6.16,1661,6.14
9,2382,5.67,1650,6.65
9,1616,5.21,2499,5.34
9,2308,5.22,8118,6.14
9,7450,6.4,2495,5.22
9,7182,5.16,5300,6.91
9,7017,5.18,5471,5.21
9,5215,6.83,4605,5.59
9,7100,5.24,7482,6.36
9,5875,6.03,8341,6.25
9,2880,5.18,1659,6.57
9,1419,6.54,7503,5.77
9,5900,5.93,2038,5.09
9,7504,5.67,7390,6.84
9,7300,5.64,4666,6.24
9,7190,5.55,5533,5.31
9,4100,6.11,2500,6.16
9,7495,5.9,7195,6.02
9,5740,5.21,2600,5.84
9,5593,6.47,5390,5.59
9,5301,6.54,7507,6.25
9,8251,6.16,5020,6.32
9,7351,5.82,2514,5.19
9,7830,5.26,2511,6.21
9,8193,6.73,7451,6.68
9,4619,6.46,7205,5.56
9,2019,6.07,4601,6.82
9,2442,6.17,4625,6.4
9,7039,5.93,8050,6.24
9,7497,5.19,4606,6.55
9,8208,6.79,7291,6.35
9,1670,5.82,2217,6.24
9,2515,6.09,7042,5.55
9,5665,6.15,7820,5.39
9,2488,5.73,7019,5.2
9,1903,5.5,7530,6.71
9,8206,6.43,8250,6.19
9,5250,6.08,2518,5.67
9,4617,6.6,7289,6.32
9,4598,6.33,7515,6.19
9,2381,5.25,7033,5.4
9,4604,5.98,2597,5.61
9,7283,5.5,2605,6.26
9,2032,5.58,5626,6.71
